id,regime,step,timestamp,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
leo-5554,leo,5,2026-01-17T09:35:06.746832044921875Z,483.150625,3354.72575,-7191.7175,-5.224124172429541,-4.138135105914962,-2.3053523236273397
leo-5554,leo,6,2026-01-17T09:36:48.787634046875Z,-51.922890625,2918.64625,-7397.3175,-5.241697165116158,-4.391250074604952,-1.7163916735556413
leo-5554,leo,7,2026-01-17T09:38:30.82846656640625Z,-586.5835,2458.55225,-7542.0015,-5.216077270690863,-4.607885768768129,-1.113816373246911
leo-5554,leo,8,2026-01-17T09:40:12.8692990859375Z,-1116.428625,1978.26125,-7624.627,-5.147539220629762,-4.786336390449548,-0.5025022702572096
leo-5554,leo,9,2026-01-17T09:41:54.91013160546875Z,-1637.101875,1481.74875,-7644.553,-5.036696580137805,-4.925200201920737,0.11261444997111539
leo-5554,leo,10,2026-01-17T09:43:36.95090308984375Z,-2144.32575,973.1185,-7601.6445,-4.884491624811734,-5.023401363217794,0.7265939689134829
leo-5554,leo,11,2026-01-17T09:45:18.991735609375Z,-2633.93675,456.5649375,-7496.2685,-4.692190370292407,-5.080204980559324,1.3345374178950442
leo-5554,leo,12,2026-01-17T09:47:01.03250709375Z,-3101.9155,-63.65787890625,-7329.29,-4.461358791359504,-5.0952271387207055,1.931606290306474
leo-5554,leo,13,2026-01-17T09:48:43.0734006484375Z,-3544.41825,-583.2775,-7102.063,-4.193838113780867,-5.068453185549509,2.5130702936317464
leo-5554,leo,14,2026-01-17T09:50:25.1141721328125Z,-3957.801,-1098.03625,-6816.4185,-3.8917400481180593,-5.000220797143736,3.0743277831384077
leo-5554,leo,15,2026-01-17T09:52:07.1550656875Z,-4338.651,-1603.730875,-6474.649,-3.5574506762604288,-4.891191396515165,3.6108832398667037
leo-5554,leo,16,2026-01-17T09:53:49.195837171875Z,-4683.8115,-2096.23875,-6079.5035,-3.193610703442206,-4.742269246505041,4.118336659815916
leo-5554,leo,17,2026-01-17T09:55:31.23660865625Z,-4990.408,-2571.5405,-5634.1725,-2.803120746252647,-4.554523675975088,4.592421098258368
leo-5554,leo,18,2026-01-17T09:57:13.2775022109375Z,-5255.877,-3025.7335,-5142.2745,-2.389094816660614,-4.329206742186929,5.029048301301413
leo-5554,leo,19,2026-01-17T09:58:55.3182736953125Z,-5477.9785,-3455.05225,-4607.836,-1.954838709059979,-4.067839687624865,5.4244236587799275
leo-5554,leo,20,2026-01-17T10:00:37.3590451796875Z,-5654.8235,-3855.9045,-4035.24975,-1.503836985597176,-3.772317263030556,5.775138887593385
leo-5554,leo,21,2026-01-17T10:02:19.399938734375Z,-5784.884,-4224.913,-3429.236,-1.0397256540366797,-3.444929548334065,6.078214002063194
leo-5554,leo,22,2026-01-17T10:04:01.44071021875Z,-5867.0125,-4558.9515,-2794.79775,-0.5663030488636432,-3.088317007170561,6.331098007220804
leo-5554,leo,23,2026-01-17T10:05:43.481481703125Z,-5900.456,-4855.1815,-2137.17575,-0.08744543842817075,-2.705391638892808,6.531631207845746
leo-5554,leo,24,2026-01-17T10:07:25.5222531875Z,-5884.8585,-5111.072,-1461.812375,0.3928909283419889,-2.299277208559779,6.678059028458221
leo-5554,leo,25,2026-01-17T10:09:07.5632688125Z,-5820.274,-5324.422,-774.3055,0.8707054099219167,-1.8732705117238801,6.76903985071663
leo-5554,leo,26,2026-01-17T10:10:49.604040296875Z,-5707.1635,-5493.3725,-80.374640625,1.3420027897473192,-1.4308643287978011,6.8036591148892605
leo-5554,leo,27,2026-01-17T10:12:31.64481178125Z,-5546.396,-5616.435,614.19575,1.802811242251035,-0.9757300787876302,6.781458506695634
leo-5554,leo,28,2026-01-17T10:14:13.685583265625Z,-5339.243,-5692.501,1303.595875,2.249223488428292,-0.5116484248454981,6.70244099540864
leo-5554,leo,29,2026-01-17T10:15:55.72635475Z,-5087.371,-5720.853,1982.04025,2.6774358733574917,-0.04252518084843905,6.567081187714853
leo-5554,leo,30,2026-01-17T10:17:37.767370375Z,-4792.827,-5701.1795,2643.8175,3.0837886380446906,0.42765263823990973,6.37633061319664
leo-5554,leo,31,2026-01-17T10:19:19.808141859375Z,-4458.026,-5633.577,3283.33325,3.46476457260162,0.8948604432492175,6.131623819561249
leo-5554,leo,32,2026-01-17T10:21:01.84891334375Z,-4085.7325,-5518.555,3895.16875,3.817052677415726,1.3550931454999153,5.8348600891475
leo-5554,leo,33,2026-01-17T10:22:43.889684828125Z,-3679.036,-5357.0275,4474.1205,4.1375850932747,1.804386592943327,5.488410336899073
leo-5554,leo,34,2026-01-17T10:24:25.9304563125Z,-3241.32775,-5150.313,5015.252,4.423545543940914,2.238867333877246,5.095100639057899
leo-5554,leo,35,2026-01-17T10:26:07.971227796875Z,-2776.272,-4900.116,5513.9365,4.672413238926205,2.654807705348798,4.658186922234327
leo-5554,leo,36,2026-01-17T10:27:50.012243421875Z,-2287.77325,-4608.515,5965.903,4.881995156747587,3.0486360495493026,4.181332842225362
leo-5554,leo,37,2026-01-17T10:29:32.05301490625Z,-1779.94575,-4277.945,6367.2705,5.050446306934413,3.416999351611041,3.668565462162558
leo-5554,leo,38,2026-01-17T10:31:14.093786390625Z,-1257.070375,-3911.1685,6714.5895,5.176289387236547,3.756767950923415,3.124241372957633
leo-5554,leo,39,2026-01-17T10:32:56.134557875Z,-723.560625,-3511.258,7004.8705,5.258417863953164,4.065046686397471,2.5529868719180593
leo-5554,leo,40,2026-01-17T10:34:38.175329359375Z,-183.92434375,-3081.5675,7235.607,5.296101943013549,4.339201806875796,1.959635811168082
leo-5554,leo,41,2026-01-17T10:36:20.21610084375Z,357.27603125,-2625.707,7404.796,5.288983604350228,4.576859649260474,1.3492294177399453
leo-5554,leo,42,2026-01-17T10:38:02.25711646875Z,895.460875,-2147.51375,7510.96,5.2370674581304835,4.7759186027035705,0.7269481195222688
leo-5554,leo,43,2026-01-17T10:39:44.2976438125Z,1426.064875,-1651.03025,7553.153,5.140728517417021,4.934578688212128,0.09808485238251888
leo-5554,leo,44,2026-01-17T10:41:26.3386594375Z,1944.588625,-1140.45725,7530.977,5.000706670494785,5.051377471528376,-0.5319846109675563
leo-5554,leo,45,2026-01-17T10:43:08.3796750625Z,2446.61925,-620.134875,7444.5845,4.818120792855379,5.125201783200769,-1.157837697918243
leo-5554,leo,46,2026-01-17T10:44:50.42020240625Z,2927.87825,-94.4981875,7294.684,4.594470452275922,5.155323942923461,-1.7740565700069129
